iter	Passed	Remaining
1208	24378	5867
1209	24399	5847
1210	24421	5828
1211	24447	5809
1212	24468	5789
1213	24488	5769
1214	24508	5748
1215	24526	5728
1216	24543	5707
1217	24562	5686
1218	24580	5666
1219	24598	5645
1220	24619	5625
1221	24637	5604
1222	24658	5585
1223	24678	5564
1224	24697	5544
1225	24721	5525
1226	24742	5504
1227	24761	5484
1228	24782	5464
1229	24803	5444
1230	24822	5424
1231	24839	5403
1232	24857	5382
1233	24877	5362
1234	24895	5341
1235	24912	5321
1236	24930	5300
1237	24947	5279
1238	24965	5259
1239	24982	5238
1240	25000	5217
1241	25018	5197
1242	25042	5177
1243	25061	5157
1244	25085	5138
1245	25105	5117
1246	25125	5097
1247	25148	5078
1248	25167	5057
1249	25189	5037
1250	25210	5017
1251	25230	4997
1252	25252	4977
1253	25270	4957
1254	25288	4936
1255	25306	4916
1256	25324	4895
1257	25344	4875
1258	25363	4855
1259	25383	4834
1260	25402	4814
1261	25421	4794
1262	25440	4773
1263	25458	4753
1264	25482	4733
1265	25505	4714
1266	25524	4693
1267	25541	4673
1268	25558	4652
1269	25577	4632
1270	25595	4611
1271	25615	4591
1272	25633	4570
1273	25652	4550
1274	25671	4530
1275	25688	4509
1276	25706	4489
1277	25723	4468
1278	25741	4447
1279	25759	4427
1280	25776	4406
1281	25794	4386
1282	25812	4365
1283	25830	4345
1284	25848	4324
1285	25867	4304
1286	25885	4284
1287	25906	4264
1288	25924	4243
1289	25942	4223
1290	25960	4202
1291	25977	4182
1292	25996	4161
1293	26016	4141
1294	26038	4121
1295	26057	4101
1296	26076	4081
1297	26093	4060
1298	26112	4040
1299	26131	4020
1300	26151	4000
1301	26171	3979
1302	26188	3959
1303	26204	3938
1304	26221	3918
1305	26240	3897
1306	26260	3877
1307	26281	3857
1308	26302	3837
1309	26322	3817
1310	26347	3798
1311	26367	3778
1312	26385	3757
1313	26403	3737
1314	26424	3717
1315	26443	3697
1316	26462	3676
1317	26478	3656
1318	26495	3635
1319	26515	3615
1320	26539	3596
1321	26557	3575
1322	26576	3555
1323	26594	3535
1324	26614	3515
1325	26632	3494
1326	26650	3474
1327	26668	3454
1328	26685	3433
1329	26702	3413
1330	26720	3392
1331	26737	3372
1332	26755	3352
1333	26773	3331
1334	26791	3311
1335	26809	3290
1336	26827	3270
1337	26845	3250
1338	26864	3230
1339	26881	3209
1340	26900	3189
1341	26919	3169
1342	26937	3149
1343	26955	3128
1344	26974	3108
1345	26994	3088
1346	27012	3068
1347	27030	3047
1348	27048	3027
1349	27065	3007
1350	27084	2987
1351	27102	2966
1352	27121	2946
1353	27140	2926
1354	27159	2906
1355	27176	2886
1356	27194	2865
1357	27212	2845
1358	27229	2825
1359	27248	2804
1360	27266	2784
1361	27285	2764
1362	27303	2744
1363	27321	2724
1364	27339	2703
1365	27356	2683
1366	27378	2663
1367	27397	2643
1368	27414	2623
1369	27434	2603
1370	27455	2583
1371	27475	2563
1372	27497	2543
1373	27519	2523
1374	27542	2503
1375	27569	2484
1376	27591	2464
1377	27615	2444
1378	27635	2424
1379	27654	2404
1380	27674	2384
1381	27692	2364
1382	27710	2344
1383	27728	2324
1384	27746	2303
1385	27764	2283
1386	27783	2263
1387	27800	2243
1388	27817	2223
1389	27836	2202
1390	27855	2182
1391	27875	2162
1392	27896	2142
1393	27913	2122
1394	27931	2102
